Province,District,Polling Division,Name,Votes,Percent
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,M.K. Sivajilingam,21,0.06%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Mohamed Musthaffa,18,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Battaramulle Seelarathana Thero,14,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Aruna de Zoysa,14,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Sanath Pinnaduwa,12,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Muthu Bandara Theminimulla,12,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Senaratna de Silva,9,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Upali Sarath Kongahage,8,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Valid Votes,"33,876",98.52%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Rejected Votes,509,1.48%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Total Polled,"34,385",76.17%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Regis.Electors,"45,144",
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Mahinda Rajapaksha,"36,212",55.66%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Sarath Fonseka,"27,852",42.81%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Mohomad Cassim Mohomad Ismail,209,0.32%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Achala Ashoka Suraweera,119,0.18%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Channa Janaka Sugathsiri Gamage,113,0.17%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,W.V. Mahiman Ranjith,79,0.12%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Panagoda Don Prince Soloman Anura Liyanage,73,0.11%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Sarath Manamendra,62,0.10%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Ukkubanda Wijekoon,50,0.08%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Lal Perera,49,0.08%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Vickramabahu Karunaratna,40,0.06%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Sirithunga Jayasuriya,39,0.06%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,M.K. Sivajilingam,29,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Wije Dias,26,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Idroos Mohomad Ilyas,26,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Mohamed Musthaffa,16,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Senaratna de Silva,15,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Aruna de Zoysa,12,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Sanath Pinnaduwa,12,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Upali Sarath Kongahage,10,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Battaramulle Seelarathana Thero,9,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Muthu Bandara Theminimulla,8,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Valid Votes,"65,060",99.00%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Rejected Votes,656,1.00%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Total Polled,"65,716",76.54%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,KUNDASALE,Regis.Electors,"85,857",
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Mahinda Rajapaksha,"24,601",51.55%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Sarath Fonseka,"21,791",45.66%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Mohomad Cassim Mohomad Ismail,295,0.62%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Achala Ashoka Suraweera,202,0.42%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Channa Janaka Sugathsiri Gamage,136,0.28%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Panagoda Don Prince Soloman Anura Liyanage,119,0.25%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,W.V. Mahiman Ranjith,94,0.20%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Lal Perera,71,0.15%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Ukkubanda Wijekoon,62,0.13%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Sarath Manamendra,56,0.12%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Sirithunga Jayasuriya,52,0.11%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,M.K. Sivajilingam,41,0.09%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Vickramabahu Karunaratna,38,0.08%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Idroos Mohomad Ilyas,35,0.07%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Sanath Pinnaduwa,31,0.06%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Mohamed Musthaffa,26,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Battaramulle Seelarathana Thero,21,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Senaratna de Silva,17,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Aruna de Zoysa,12,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Upali Sarath Kongahage,8,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Wije Dias,8,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Muthu Bandara Theminimulla,5,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Valid Votes,"47,721",98.61%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Rejected Votes,674,1.39%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Total Polled,"48,395",74.25%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HEWAHETA,Regis.Electors,"65,176",
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Mahinda Rajapaksha,"28,444",52.33%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Sarath Fonseka,"25,243",46.44%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Mohomad Cassim Mohomad Ismail,105,0.19%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Achala Ashoka Suraweera,83,0.15%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Channa Janaka Sugathsiri Gamage,71,0.13%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,W.V. Mahiman Ranjith,65,0.12%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Panagoda Don Prince Soloman Anura Liyanage,50,0.09%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Sarath Manamendra,41,0.08%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Vickramabahu Karunaratna,35,0.06%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Sirithunga Jayasuriya,29,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,M.K. Sivajilingam,28,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Ukkubanda Wijekoon,28,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Idroos Mohomad Ilyas,27,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Lal Perera,27,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Muthu Bandara Theminimulla,19,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Wije Dias,17,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Mohamed Musthaffa,16,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Sanath Pinnaduwa,10,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Senaratna de Silva,6,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Battaramulle Seelarathana Thero,5,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,SENKADAGALA,Upali Sarath Kongahage,4,0.01%
