Province,District,Polling Division,Name,Votes,Percent
Central Province,MAHANUWARA,TELDENIYA,Ruwanthilaka Peduru Arachchi,49,0.13%
Central Province,MAHANUWARA,TELDENIYA,Anuruddha Polgampala,18,0.05%
Central Province,MAHANUWARA,TELDENIYA,Baththaramulle Seelarathana Thero,11,0.03%
Central Province,MAHANUWARA,TELDENIYA,Sarath Manamendra,30,0.08%
Central Province,MAHANUWARA,TELDENIYA,Arachchige Rathnayaka Sirisena,80,0.21%
Central Province,MAHANUWARA,TELDENIYA,Mahinda Rajapaksa,"18,150",48.56%
Central Province,MAHANUWARA,TELDENIYA,Namal Rajapaksa,56,0.15%
Central Province,MAHANUWARA,TELDENIYA,Sundaram Mahendran,17,0.05%
Central Province,MAHANUWARA,TELDENIYA,Jayantha Kulathunga,9,0.02%
Central Province,MAHANUWARA,TELDENIYA,Valid Votes,"37,377",98.64%
Central Province,MAHANUWARA,TELDENIYA,Rejected Votes,517,1.36%
Central Province,MAHANUWARA,TELDENIYA,Total Polled,"37,894",79.47%
Central Province,MAHANUWARA,TELDENIYA,Regis.Electors,"47,685",
Central Province,MAHANUWARA,KUNDASALE,Aithurus Mohamed Illias,49,0.07%
Central Province,MAHANUWARA,KUNDASALE,Ibrahim Miflar,65,0.09%
Central Province,MAHANUWARA,KUNDASALE,Prasanna Priyankara,20,0.03%
Central Province,MAHANUWARA,KUNDASALE,Wimal Geeganage,10,0.01%
Central Province,MAHANUWARA,KUNDASALE,Sirithunga Jayasuriya,32,0.04%
Central Province,MAHANUWARA,KUNDASALE,M. B. Theminimulla,20,0.03%
Central Province,MAHANUWARA,KUNDASALE,Pani Wijesiriwardane,23,0.03%
Central Province,MAHANUWARA,KUNDASALE,Duminda Nagamuwa,59,0.08%
Central Province,MAHANUWARA,KUNDASALE,Panagoda Don Prince Soloman Anura Liyanage,75,0.10%
Central Province,MAHANUWARA,KUNDASALE,Maithripala Sirisena,"41,238",55.06%
Central Province,MAHANUWARA,KUNDASALE,Ruwanthilaka Peduru Arachchi,73,0.10%
Central Province,MAHANUWARA,KUNDASALE,Anuruddha Polgampala,24,0.03%
Central Province,MAHANUWARA,KUNDASALE,Baththaramulle Seelarathana Thero,20,0.03%
Central Province,MAHANUWARA,KUNDASALE,Sarath Manamendra,41,0.05%
Central Province,MAHANUWARA,KUNDASALE,Arachchige Rathnayaka Sirisena,90,0.12%
Central Province,MAHANUWARA,KUNDASALE,Mahinda Rajapaksa,"32,930",43.97%
Central Province,MAHANUWARA,KUNDASALE,Namal Rajapaksa,85,0.11%
Central Province,MAHANUWARA,KUNDASALE,Sundaram Mahendran,23,0.03%
Central Province,MAHANUWARA,KUNDASALE,Jayantha Kulathunga,13,0.02%
Central Province,MAHANUWARA,KUNDASALE,Valid Votes,"74,890",98.95%
Central Province,MAHANUWARA,KUNDASALE,Rejected Votes,794,1.05%
Central Province,MAHANUWARA,KUNDASALE,Total Polled,"75,684",79.78%
Central Province,MAHANUWARA,KUNDASALE,Regis.Electors,"94,870",
Central Province,MAHANUWARA,HEWAHETA,Aithurus Mohamed Illias,56,0.11%
Central Province,MAHANUWARA,HEWAHETA,Ibrahim Miflar,112,0.21%
Central Province,MAHANUWARA,HEWAHETA,Prasanna Priyankara,14,0.03%
Central Province,MAHANUWARA,HEWAHETA,Wimal Geeganage,2,0.00%
Central Province,MAHANUWARA,HEWAHETA,Sirithunga Jayasuriya,46,0.09%
Central Province,MAHANUWARA,HEWAHETA,M. B. Theminimulla,33,0.06%
Central Province,MAHANUWARA,HEWAHETA,Pani Wijesiriwardane,17,0.03%
Central Province,MAHANUWARA,HEWAHETA,Duminda Nagamuwa,44,0.08%
Central Province,MAHANUWARA,HEWAHETA,Panagoda Don Prince Soloman Anura Liyanage,91,0.17%
Central Province,MAHANUWARA,HEWAHETA,Maithripala Sirisena,"28,049",52.84%
Central Province,MAHANUWARA,HEWAHETA,Ruwanthilaka Peduru Arachchi,95,0.18%
Central Province,MAHANUWARA,HEWAHETA,Anuruddha Polgampala,30,0.06%
Central Province,MAHANUWARA,HEWAHETA,Baththaramulle Seelarathana Thero,17,0.03%
Central Province,MAHANUWARA,HEWAHETA,Sarath Manamendra,48,0.09%
Central Province,MAHANUWARA,HEWAHETA,Arachchige Rathnayaka Sirisena,106,0.20%
Central Province,MAHANUWARA,HEWAHETA,Mahinda Rajapaksa,"24,167",45.53%
Central Province,MAHANUWARA,HEWAHETA,Namal Rajapaksa,111,0.21%
Central Province,MAHANUWARA,HEWAHETA,Sundaram Mahendran,30,0.06%
Central Province,MAHANUWARA,HEWAHETA,Jayantha Kulathunga,11,0.02%
Central Province,MAHANUWARA,HEWAHETA,Valid Votes,"53,079",98.75%
Central Province,MAHANUWARA,HEWAHETA,Rejected Votes,673,1.25%
Central Province,MAHANUWARA,HEWAHETA,Total Polled,"53,752",77.63%
Central Province,MAHANUWARA,HEWAHETA,Regis.Electors,"69,243",
Central Province,MAHANUWARA,SENKADAGALA,Aithurus Mohamed Illias,48,0.08%
Central Province,MAHANUWARA,SENKADAGALA,Ibrahim Miflar,57,0.09%
Central Province,MAHANUWARA,SENKADAGALA,Prasanna Priyankara,10,0.02%
Central Province,MAHANUWARA,SENKADAGALA,Wimal Geeganage,4,0.01%
Central Province,MAHANUWARA,SENKADAGALA,Sirithunga Jayasuriya,31,0.05%
Central Province,MAHANUWARA,SENKADAGALA,M. B. Theminimulla,31,0.05%
Central Province,MAHANUWARA,SENKADAGALA,Pani Wijesiriwardane,25,0.04%
Central Province,MAHANUWARA,SENKADAGALA,Duminda Nagamuwa,53,0.08%
Central Province,MAHANUWARA,SENKADAGALA,Panagoda Don Prince Soloman Anura Liyanage,45,0.07%
Central Province,MAHANUWARA,SENKADAGALA,Maithripala Sirisena,"36,127",57.59%
Central Province,MAHANUWARA,SENKADAGALA,Ruwanthilaka Peduru Arachchi,49,0.08%
Central Province,MAHANUWARA,SENKADAGALA,Anuruddha Polgampala,18,0.03%
Central Province,MAHANUWARA,SENKADAGALA,Baththaramulle Seelarathana Thero,17,0.03%
Central Province,MAHANUWARA,SENKADAGALA,Sarath Manamendra,31,0.05%
Central Province,MAHANUWARA,SENKADAGALA,Arachchige Rathnayaka Sirisena,49,0.08%
Central Province,MAHANUWARA,SENKADAGALA,Mahinda Rajapaksa,"26,062",41.54%
Central Province,MAHANUWARA,SENKADAGALA,Namal Rajapaksa,61,0.10%
Central Province,MAHANUWARA,SENKADAGALA,Sundaram Mahendran,12,0.02%
Central Province,MAHANUWARA,SENKADAGALA,Jayantha Kulathunga,5,0.01%
